採集日期,基準地址,店家代碼,店家名稱,採集狀態,商品總數,評分,評價數,原始JSON檔案,店家網址
2026-08-26,台北市士林區中山北路七段,1b6ae8f8cb8f56087288731b69c00b83,貴婦滷味 北投店,SUCCESS,72,4.7,1500,20260826012821_1b6ae8f8_貴婦滷味_北投店.json,https://www.ubereats.com/tw/store/%E8%B2%B4%E5%A9%A6%E6%BB%B7%E5%91%B3-%E5%8C%97%E6%8A%95%E5%BA%97/X43bAvHDQ12kmjwvo9eF0g
2026-08-26,台北市士林區中山北路七段,98681556f267d773f33486cc9aef677b,白家十全藥燉排骨 石牌店,SUCCESS,33,4.8,1000,20260826012821_98681556_白家十全藥燉排骨_石牌店.json,https://www.ubereats.com/tw/store/%E7%99%BD%E5%AE%B6%E5%8D%81%E5%85%A8%E8%97%A5%E7%87%89%E6%8E%92%E9%AA%A8-%E7%9F%B3%E7%89%8C%E5%BA%97/6Bb5bMbYVNOOHWfvcxBuTw
2026-08-26,台北市士林區中山北路七段,d8aad8f38f127814a35f36719f40e0eb,手路炒飯 士林大南店,SUCCESS,73,4.3,700,20260826012821_d8aad8f3_手路炒飯_士林大南店.json,https://www.ubereats.com/tw/store/%E6%89%8B%E8%B7%AF%E7%82%92%E9%A3%AF-%E5%A3%AB%E6%9E%97%E5%A4%A7%E5%8D%97%E5%BA%97/tMjkd7aQV-Ghc78YgwO_Pw
2026-08-26,台北市士林區中山北路七段,7e7abd39f01f383ef85e7736be18d57c,台灣鹽酥雞 大直總店,SUCCESS,136,4.8,45000,20260826012821_7e7abd39_台灣鹽酥雞_大直總店.json,https://www.ubereats.com/tw/store/%E5%8F%B0%E7%81%A3%E9%B9%BD%E9%85%A5%E9%9B%9E-%E5%A4%A7%E7%9B%B4%E7%B8%BD%E5%BA%97/CeO3JJoVSKObnwrdlOpIzA
2026-08-26,台北市士林區中山北路七段,b1de4d0fb9b5b97117766cd7f04508e6,爆Q美式炸雞 大同延平店,SUCCESS,88,4.8,320,20260826012821_b1de4d0f_爆Q美式炸雞_大同延平店.json,https://www.ubereats.com/tw/store/%E7%88%86q%E7%BE%8E%E5%BC%8F%E7%82%B8%E9%9B%9E-%E5%A4%A7%E5%90%8C%E5%BB%B6%E5%B9%B3%E5%BA%97/ZMih4UaGXDWJyCIergLw8Q
2026-08-26,台北市士林區中山北路七段,fb273cf25478b6132e3bae58725842fc,清玉 西湖店,SUCCESS,94,4.8,2000,20260826012821_fb273cf2_清玉_西湖店.json,https://www.ubereats.com/tw/store/%E6%B8%85%E7%8E%89-%E8%A5%BF%E6%B9%96%E5%BA%97/5YUWwoQgTc-FOHCd1gmJ7g
2026-08-26,台北市士林區中山北路七段,098cc9c838897e4d7d4dd2528c145339,來福記豆漿 北投店,SUCCESS,75,4.5,1000,20260826012821_098cc9c8_來福記豆漿_北投店.json,https://www.ubereats.com/tw/store/%E4%BE%86%E7%A6%8F%E8%A8%98%E8%B1%86%E6%BC%BF-%E5%8C%97%E6%8A%95%E5%BA%97/dREpZ8AyVvuzbQBRfuM9rg
2026-08-26,台北市士林區中山北路七段,c25e951a8f619c56f1457be7acac8444,爆Q美式炸雞 圓山店,SUCCESS,87,4.7,1500,20260826012821_c25e951a_爆Q美式炸雞_圓山店.json,https://www.ubereats.com/tw/store/%E7%88%86q%E7%BE%8E%E5%BC%8F%E7%82%B8%E9%9B%9E-%E5%9C%93%E5%B1%B1%E5%BA%97/xE8VfXeVURalviWm4RAdbA
2026-08-26,台北市士林區中山北路七段,9693af0ccbf2e7e58ff80e4720a2cf76,娘娘雞排 竹圍殿,SUCCESS,60,4.9,6000,20260826012821_9693af0c_娘娘雞排_竹圍殿.json,https://www.ubereats.com/tw/store/%E5%A8%98%E5%A8%98%E9%9B%9E%E6%8E%92-%E7%AB%B9%E5%9C%8D%E6%AE%BF/tL_mU04BRMq-oWr6Koej-w
2026-08-26,台北市士林區中山北路七段,ef9fdfb0addebc219d4da99bd6bda30f,艋舺雞排石牌店,SUCCESS,45,4.9,1000,20260826012821_ef9fdfb0_艋舺雞排石牌店.json,https://www.ubereats.com/tw/store/%E8%89%8B%E8%88%BA%E9%9B%9E%E6%8E%92%E7%9F%B3%E7%89%8C%E5%BA%97/BEOvxAiFXpil8YEaGxKO2w
2026-08-26,台北市士林區中山北路七段,0db366a0b1478e4e05d3c4b6a6f81f39,岡山羊肉大王 基河店,SUCCESS,55,4.6,140,20260826012821_0db366a0_岡山羊肉大王_基河店.json,https://www.ubereats.com/tw/store/%E5%B2%A1%E5%B1%B1%E7%BE%8A%E8%82%89%E5%A4%A7%E7%8E%8B-%E5%9F%BA%E6%B2%B3%E5%BA%97/b05dnByKW6G0UblEQVTbRg
2026-08-26,台北市士林區中山北路七段,af59db07c2bf2196cef1d12a36b78406,立煮關東煮,SUCCESS,41,4.9,1500,20260826012821_af59db07_立煮關東煮.json,https://www.ubereats.com/tw/store/%E7%AB%8B%E7%85%AE%E9%97%9C%E6%9D%B1%E7%85%AE/TeSKJbJ9XUS4KbNsgFVlKw
2026-08-26,台北市士林區中山北路七段,27c9b76f014cd14c819d45b0f50d8ce6,台灣真有味鹽酥雞 北投,SUCCESS,51,4.7,1500,20260826012821_27c9b76f_台灣真有味鹽酥雞_北投.json,https://www.ubereats.com/tw/store/%E5%8F%B0%E7%81%A3%E7%9C%9F%E6%9C%89%E5%91%B3%E9%B9%BD%E9%85%A5%E9%9B%9E-%E5%8C%97%E6%8A%95/rCnuLUEJWbartwmN2qSlrQ
