採集日期,基準地址,店家代碼,店家名稱,採集狀態,商品總數,評分,評價數,原始JSON檔案,店家網址
2026-08-25,台北市士林區中山北路七段81巷,ea88043d41771451cdc25b7bcf81b943,粥師傅廣東粥 Master Congee's Cantonese Congee,SUCCESS,10,4.9,1000,20260825232752_ea88043d_粥師傅廣東粥_Master_Congee's_Cantonese_Congee.json,https://www.ubereats.com/tw/store/%E7%B2%A5%E5%B8%AB%E5%82%85%E5%BB%A3%E6%9D%B1%E7%B2%A5-master-congees-cantonese-congee/1DGdfabuSu6ldudtJiNDsQ
2026-08-25,台北市士林區中山北路七段81巷,0832cc1aac1771d75f392b698120fa35,有漁有肉丨專業海鮮湯飯專賣,SUCCESS,37,4.7,27,20260825232752_0832cc1a_有漁有肉丨專業海鮮湯飯專賣.json,https://www.ubereats.com/tw/store/%E6%9C%89%E6%BC%81%E6%9C%89%E8%82%89%E4%B8%A8%E5%B0%88%E6%A5%AD%E6%B5%B7%E9%AE%AE%E6%B9%AF%E9%A3%AF%E5%B0%88%E8%B3%A3/tQj49P5bX3yqtrK6oSM0fQ
2026-08-25,台北市士林區中山北路七段81巷,9b82e8ec9c99739458891ff285ae86bb,雞二哥好吃雞肉 大直店,SUCCESS,3,4.5,2,20260825232752_9b82e8ec_雞二哥好吃雞肉_大直店.json,https://www.ubereats.com/tw/store/%E9%9B%9E%E4%BA%8C%E5%93%A5%E5%A5%BD%E5%90%83%E9%9B%9E%E8%82%89-%E5%A4%A7%E7%9B%B4%E5%BA%97/MMHUT8iaUrKbhA8h3j79GQ
2026-08-25,台北市士林區中山北路七段81巷,3bfdb811aba25c55e9f8af52041701a4,雞醬法炸物專賣,SUCCESS,56,4.6,170,20260825232752_3bfdb811_雞醬法炸物專賣.json,https://www.ubereats.com/tw/store/%E9%9B%9E%E9%86%AC%E6%B3%95%E7%82%B8%E7%89%A9%E5%B0%88%E8%B3%A3/hut36RC4VYGBy8HcLxcxTA
2026-08-25,台北市士林區中山北路七段81巷,c6df0db346a391e076485d1e4ed37a7a,冰豆綠豆沙 士林店,SUCCESS,11,5,5,20260825232752_c6df0db3_冰豆綠豆沙_士林店.json,https://www.ubereats.com/tw/store/%E5%86%B0%E8%B1%86%E7%B6%A0%E8%B1%86%E6%B2%99-%E5%A3%AB%E6%9E%97%E5%BA%97/xTLJxoYmU6SQ2c75eiJpZQ
2026-08-25,台北市士林區中山北路七段81巷,5418f90c72e019b899f333c587b2a2c5,味道讚鹽酥雞 士林和豐店,SUCCESS,36,4.7,60,20260825232752_5418f90c_味道讚鹽酥雞_士林和豐店.json,https://www.ubereats.com/tw/store/%E5%91%B3%E9%81%93%E8%AE%9A%E9%B9%BD%E9%85%A5%E9%9B%9E-%E5%A3%AB%E6%9E%97%E5%92%8C%E8%B1%90%E5%BA%97/8PklRAd4Xri0YfQoDOrE8g
2026-08-25,台北市士林區中山北路七段81巷,b4bd27a3b67cefe46c36c75894d85589,士林夜市 Raclette,SUCCESS,8,4.7,240,20260825232752_b4bd27a3_士林夜市_Raclette.json,https://www.ubereats.com/tw/store/%E5%A3%AB%E6%9E%97%E5%A4%9C%E5%B8%82-raclette/2Krockn_SQKHk3_8tFNsSQ
2026-08-25,台北市士林區中山北路七段81巷,1d4ed8b5d54b7d2627fdb30aedd99203,尚紅鹹酥雞 仁愛店,SUCCESS,43,4.2,150,20260825232752_1d4ed8b5_尚紅鹹酥雞_仁愛店.json,https://www.ubereats.com/tw/store/%E5%B0%9A%E7%B4%85%E9%B9%B9%E9%85%A5%E9%9B%9E-%E4%BB%81%E6%84%9B%E5%BA%97/iXaVghOzVFi6XEGCHSllpw
2026-08-25,台北市士林區中山北路七段81巷,372227ed657c53db31e736d2657363ab,士林夜市 買串燒烤,SUCCESS,121,4.7,230,20260825232752_372227ed_士林夜市_買串燒烤.json,https://www.ubereats.com/tw/store/%E5%A3%AB%E6%9E%97%E5%A4%9C%E5%B8%82-%E8%B2%B7%E4%B8%B2%E7%87%92%E7%83%A4/sMOfkF-tXt6tmQDlCYx53A
2026-08-25,台北市士林區中山北路七段81巷,f28fe19f22b6f0fc548043579a03dd5a,甘單ㄟ台灣味 冰沙專賣,SUCCESS,12,4.5,16,20260825232752_f28fe19f_甘單ㄟ台灣味_冰沙專賣.json,https://www.ubereats.com/tw/store/%E7%94%98%E5%96%AE%E3%84%9F%E5%8F%B0%E7%81%A3%E5%91%B3-%E5%86%B0%E6%B2%99%E5%B0%88%E8%B3%A3/BC78CKpUUP2Yxlh1G-dKrA
