採集日期,基準地址,店家代碼,店家名稱,採集狀態,商品總數,評分,評價數,原始JSON檔案,店家網址
2026-08-25,台北市士林區中山北路七段81巷,dcb10e7c62893ac945db7928dceb76de,麥當勞 台北石牌 McDonald's S78,SUCCESS,120,4.9,35000,20260825232218_dcb10e7c_麥當勞_台北石牌_McDonald's_S78.json,https://www.ubereats.com/tw/store/%E9%BA%A5%E7%95%B6%E5%8B%9E-%E5%8F%B0%E5%8C%97%E7%9F%B3%E7%89%8C-mcdonalds-s78/ub55akCsQIa0NlqEwvnQ4A
2026-08-25,台北市士林區中山北路七段81巷,0bc1a2a442c3e13954c2b4f76fb8ba8d,胖老爹美式炸雞 天母店,SUCCESS,67,4.8,2000,20260825232218_0bc1a2a4_胖老爹美式炸雞_天母店.json,https://www.ubereats.com/tw/store/%E8%83%96%E8%80%81%E7%88%B9%E7%BE%8E%E5%BC%8F%E7%82%B8%E9%9B%9E-%E5%A4%A9%E6%AF%8D%E5%BA%97/0eLDKx9VS9aAwUbLmhDqrg
2026-08-25,台北市士林區中山北路七段81巷,85b958793c65f4665737aa76e85897f7,肯德基KFC炸雞漢堡店 北投光明店,SUCCESS,114,4.8,3000,20260825232218_85b95879_肯德基KFC炸雞漢堡店_北投光明店.json,https://www.ubereats.com/tw/store/%E8%82%AF%E5%BE%B7%E5%9F%BAkfc%E7%82%B8%E9%9B%9E%E6%BC%A2%E5%A0%A1%E5%BA%97-%E5%8C%97%E6%8A%95%E5%85%89%E6%98%8E%E5%BA%97/lGVGNLE0TCOjrNEDC8s8lw
2026-08-25,台北市士林區中山北路七段81巷,e76df982c2a98ee4cf20801a65b1c4df,Burger o'clock,SUCCESS,77,4.9,7000,20260825232218_e76df982_Burger_o'clock.json,https://www.ubereats.com/tw/store/burger-oclock/N3XkkaJGRDCjAt-GaT6iXQ
2026-08-25,台北市士林區中山北路七段81巷,7e7abd39f01f383ef85e7736be18d57c,台灣鹽酥雞 大直總店,SUCCESS,135,4.8,45000,20260825232218_7e7abd39_台灣鹽酥雞_大直總店.json,https://www.ubereats.com/tw/store/%E5%8F%B0%E7%81%A3%E9%B9%BD%E9%85%A5%E9%9B%9E-%E5%A4%A7%E7%9B%B4%E7%B8%BD%E5%BA%97/CeO3JJoVSKObnwrdlOpIzA
